,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description,type,llm_column_description
21,financial,loan,loan_id,,the id number identifying the loan data,integer,,P,This is the unique identifier for each loan entry.
22,financial,loan,account_id,,the id number identifying the account,integer,,F,This is the unique identifier for each loan account.
23,financial,loan,date,,the date when the loan is approved,date,,,The date when the loan is approved.
24,financial,loan,amount,,approved amount,integer,unit：US dollar,,This is the amount of money associated with the loan.
25,financial,loan,duration,,loan duration,integer,unit：month,,This is the duration of the loan in months.
26,financial,loan,payments,monthly payments,monthly payments,real,unit：month,,This is the monthly payment amount for the loan.
27,financial,loan,status,,repayment status,text,"'A' stands for contract finished, no problems;
'B' stands for contract finished, loan not paid;
'C' stands for running contract, OK so far;
'D' stands for running contract, client in debt",,This column represents the repayment status of the loan contracts.
28,financial,client,client_id,,the unique number,integer,,P,This is the unique identifier for each client.
29,financial,client,gender,,,text,"F：female 
M：male ",,This column contains information about the gender of the clients.
30,financial,client,birth_date,,birth date,date,,,This column represents the birth date of the clients.
31,financial,client,district_id,location of branch,location of branch,integer,,F,This is the location of the branch.
32,financial,district,district_id,location of branch,location of branch,integer ,,P,This column represents the location of the branch.
33,financial,district,A2,district_name,district_name,text,,,This is the name of the district.
34,financial,district,A3,region,region,text,,,This is the region where the district is located.
35,financial,district,A4,number of inhabitants ,,text,,,This is the number of inhabitants in the district.
36,financial,district,A5,no. of municipalities with inhabitants < 499,municipality < district < region,text,,,This is the number of municipalities with inhabitants less than 499.
37,financial,district,A6,no. of municipalities with inhabitants 500-1999,municipality < district < region,text,,,This is the number of municipalities with inhabitants ranging from 500 to 1999.
38,financial,district,A7,no. of municipalities with inhabitants 2000-9999,municipality < district < region,text,,,This is the number of municipalities with inhabitants ranging from 2000 to 9999.
39,financial,district,A8,no. of municipalities with inhabitants > 10000,municipality < district < region,integer,,,This is the number of municipalities with inhabitants greater than 10000.
40,financial,district,A9,,,integer,not useful,,This is the average age of the population in the district.
41,financial,district,A10,ratio of urban inhabitants,ratio of urban inhabitants,real,,,This column represents the ratio of urban inhabitants.
42,financial,district,A11,average salary,average salary,integer,,,This column represents the average salary in the district.
43,financial,district,A12,unemployment rate 1995,unemployment rate 1995,real,,,This is the unemployment rate in 1995.
44,financial,district,A13,unemployment rate 1996,unemployment rate 1996,real,,,This is the unemployment rate for the year 1996.
45,financial,district,A14,no. of entrepreneurs per 1000 inhabitants,no. of entrepreneurs per 1000 inhabitants,integer,,,This is the number of entrepreneurs per 1000 inhabitants.
46,financial,district,A15,no. of committed crimes 1995,no. of committed crimes 1995,integer,,,This is the number of committed crimes in 1995.
47,financial,district,A16,no. of committed crimes 1996,no. of committed crimes 1996,integer,,,This is the number of committed crimes in 1996.
48,financial,trans,trans_id,transaction id,transaction id,integer,,P,This is the unique identifier for each transaction.
49,financial,trans,account_id,,,integer,,F,This is the unique identifier for each transaction.
50,financial,trans,date,date of transaction,date of transaction,date,,,This column represents the date of each transaction.
51,financial,trans,type,+/- transaction,+/- transaction,text,"""PRIJEM"" stands for credit
""VYDAJ"" stands for withdrawal",,"This column contains information about the type of transaction, with ""PRIJEM"" indicating credit and ""VYDAJ"" indicating withdrawal."
52,financial,trans,operation,mode of transaction,mode of transaction,text,"""VYBER KARTOU"": credit card withdrawal
""VKLAD"": credit in cash
""PREVOD Z UCTU"" :collection from another bank
""VYBER"": withdrawal in cash
""PREVOD NA UCET"": remittance to another bank",,This column represents the mode of transaction.
53,financial,trans,amount,amount of money,amount of money,integer,Unit：USD,,This is the amount of money in the transaction.
54,financial,trans,balance,balance after transaction,balance after transaction,integer,Unit：USD,,This is the balance after each transaction.
55,financial,trans,k_symbol,characterization of the transaction,,text,"""POJISTNE"": stands for insurrance payment
""SLUZBY"": stands for payment for statement
""UROK"": stands for interest credited
""SANKC. UROK"": sanction interest if negative balance
""SIPO"": stands for household
""DUCHOD"": stands for old-age pension
""UVER"": stands for loan payment",,This column contains the characterization of the transaction.
56,financial,trans,bank,bank of the partner,,text,each bank has unique two-letter code,,This is the name of the bank partner.
57,financial,trans,account,account of the partner,,integer,,,This is the account associated with the transaction.
58,financial,account,account_id,account id,the id of the account,integer,,P,This is the unique identifier for each account.
59,financial,account,district_id,location of branch,location of branch,integer ,,F,This column represents the location of the branch.
60,financial,account,frequency,frequency,frequency of the acount,text,"""POPLATEK MESICNE"" stands for monthly issuance
""POPLATEK TYDNE"" stands for weekly issuance
""POPLATEK PO OBRATU"" stands for issuance after transaction",,The frequency of transactions on the account.
61,financial,account,date,date,the creation date of the account,date,in the form YYMMDD,,The creation date of the account.
62,financial,card,card_id,credit card id,id number of credit card,integer,,P,This is the credit card ID.
63,financial,card,disp_id,disposition id,disposition id,integer,,F,This is the identifier for the disposition.
64,financial,card,type,,type of credit card,text,"""junior"": junior class of credit card; 
""classic"": standard class of credit card; 
""gold"": high-level credit card",,This column represents the type of credit card.
65,financial,card,issued,,the date when the credit card issued ,date,in the form YYMMDD,,This is the date when the credit card was issued.
66,financial,order,order_id,,identifying the unique order,integer,,P,This column represents the unique identifier for each order.
67,financial,order,account_id,,id number of account,integer,,F,This is the unique identifier for each account in the order table.
68,financial,order,bank_to,bank of the recipient,bank of the recipient,text,,,The bank_to column contains the name of the recipient's bank.
69,financial,order,account_to,account of the recipient,account of the recipient,integer,each bank has unique two-letter code,,This is the account number of the recipient.
70,financial,order,amount,debited amount,debited amount,real,,,The debited amount in the order table.
71,financial,order,k_symbol,characterization of the payment,purpose of the payment,text,"""POJISTNE"" stands for insurance payment
""SIPO"" stands for household payment
""LEASING"" stands for leasing
""UVER"" stands for loan payment",,This column represents the characterization of the payment.
72,financial,disp,disp_id,disposition id,unique number of identifying this row of record,integer,,P,This is the unique identifier for each disposition record.
73,financial,disp,client_id,,id number of client,integer,,F,This is the unique identifier for each client in the system.
74,financial,disp,account_id,,id number of account,integer,,F,This is the unique identifier for each account in the database.
75,financial,disp,type,,type of disposition,text,"""OWNER"" : ""USER"" : ""DISPONENT""
commonsense evidence:
the account can only have the right to issue permanent orders or apply for loans",,"This column contains information about the type of relationship between clients and their accounts: ""OWNER"", ""USER"", or ""DISPONENT""."
