,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description,type,llm_column_description
21,financial,loan,loan_id,,the id number identifying the loan data,integer,,P,This is the unique identifier for each loan.
22,financial,loan,account_id,,the id number identifying the account,integer,,F,This is the ID number identifying the account associated with the loan.
23,financial,loan,date,,the date when the loan is approved,date,,,The date when the loan is approved.
24,financial,loan,amount,,approved amount,integer,unit：US dollar,,The total amount of the loan.
25,financial,loan,duration,,loan duration,integer,unit：month,,The duration of the loan. Unit: month.
26,financial,loan,payments,monthly payments,monthly payments,real,unit：month,,The monthly payment amount for the loan.
27,financial,loan,status,,repayment status,text,"'A' stands for contract finished, no problems;
'B' stands for contract finished, loan not paid;
'C' stands for running contract, OK so far;
'D' stands for running contract, client in debt",,"Repayment status of the loan. 'A' stands for contract finished, no problems; 'B' stands for contract finished, loan not paid; 'C' stands for running contract, OK so far; 'D' stands for running contract, client in debt."
28,financial,client,client_id,,the unique number,integer,,P,The unique identifier for each client.
29,financial,client,gender,,,text,"F：female 
M：male ",,This is the gender of the client.
30,financial,client,birth_date,,birth date,date,,,The birth date of the client.
31,financial,client,district_id,location of branch,location of branch,integer,,F,The identifier for the district where the client resides.
32,financial,district,district_id,location of branch,location of branch,integer ,,P,The unique identifier for each district.
33,financial,district,A2,district_name,district_name,text,,,The name of the district.
34,financial,district,A3,region,region,text,,,The region where the district is located.
35,financial,district,A4,number of inhabitants ,,text,,,The number of inhabitants in the district.
36,financial,district,A5,no. of municipalities with inhabitants < 499,municipality < district < region,text,,,This is the number of municipalities with fewer than 499 inhabitants.
37,financial,district,A6,no. of municipalities with inhabitants 500-1999,municipality < district < region,text,,,This is the number of municipalities with inhabitants between 500 and 1999.
38,financial,district,A7,no. of municipalities with inhabitants 2000-9999,municipality < district < region,text,,,This is the number of municipalities with inhabitants between 2000 and 9999.
39,financial,district,A8,no. of municipalities with inhabitants > 10000,municipality < district < region,integer,,,"This is the number of municipalities with more than 10,000 inhabitants."
40,financial,district,A9,,,integer,not useful,,Not enough information to make a valid prediction.
41,financial,district,A10,ratio of urban inhabitants,ratio of urban inhabitants,real,,,Details about the ratio of urban inhabitants.
42,financial,district,A11,average salary,average salary,integer,,,The average salary in the district.
43,financial,district,A12,unemployment rate 1995,unemployment rate 1995,real,,,The unemployment rate in 1995.
44,financial,district,A13,unemployment rate 1996,unemployment rate 1996,real,,,The unemployment rate in 1996.
45,financial,district,A14,no. of entrepreneurs per 1000 inhabitants,no. of entrepreneurs per 1000 inhabitants,integer,,,This is the number of entrepreneurs per 1000 inhabitants.
46,financial,district,A15,no. of committed crimes 1995,no. of committed crimes 1995,integer,,,This is the number of committed crimes in 1995.
47,financial,district,A16,no. of committed crimes 1996,no. of committed crimes 1996,integer,,,The number of committed crimes in 1996.
48,financial,trans,trans_id,transaction id,transaction id,integer,,P,This is the unique identifier for each transaction.
49,financial,trans,account_id,,,integer,,F,The unique identifier for the account associated with the transaction.
50,financial,trans,date,date of transaction,date of transaction,date,,,The date of the transaction.
51,financial,trans,type,+/- transaction,+/- transaction,text,"""PRIJEM"" stands for credit
""VYDAJ"" stands for withdrawal",,"The type of transaction, either credit (""PRIJEM"") or withdrawal (""VYDAJ"")."
52,financial,trans,operation,mode of transaction,mode of transaction,text,"""VYBER KARTOU"": credit card withdrawal
""VKLAD"": credit in cash
""PREVOD Z UCTU"" :collection from another bank
""VYBER"": withdrawal in cash
""PREVOD NA UCET"": remittance to another bank",,"Mode of transaction. Possible values include ""VYBER KARTOU"" (credit card withdrawal), ""VKLAD"" (credit in cash), ""PREVOD Z UCTU"" (collection from another bank), ""VYBER"" (withdrawal in cash), and ""PREVOD NA UCET"" (remittance to another bank)."
53,financial,trans,amount,amount of money,amount of money,integer,Unit：USD,,The amount of money involved in the transaction.
54,financial,trans,balance,balance after transaction,balance after transaction,integer,Unit：USD,,The balance after transaction.
55,financial,trans,k_symbol,characterization of the transaction,,text,"""POJISTNE"": stands for insurrance payment
""SLUZBY"": stands for payment for statement
""UROK"": stands for interest credited
""SANKC. UROK"": sanction interest if negative balance
""SIPO"": stands for household
""DUCHOD"": stands for old-age pension
""UVER"": stands for loan payment",,Characterization of the transaction.
56,financial,trans,bank,bank of the partner,,text,each bank has unique two-letter code,,The bank of the partner. Each bank has a unique two-letter code.
57,financial,trans,account,account of the partner,,integer,,,The account number associated with the transaction.
58,financial,account,account_id,account id,the id of the account,integer,,P,This is the unique identifier for each account.
59,financial,account,district_id,location of branch,location of branch,integer ,,F,The identifier for the district where the account is located.
60,financial,account,frequency,frequency,frequency of the acount,text,"""POPLATEK MESICNE"" stands for monthly issuance
""POPLATEK TYDNE"" stands for weekly issuance
""POPLATEK PO OBRATU"" stands for issuance after transaction",,"The frequency of account issuance. ""POPLATEK MESICNE"" stands for monthly issuance, ""POPLATEK TYDNE"" stands for weekly issuance, and ""POPLATEK PO OBRATU"" stands for issuance after transaction."
61,financial,account,date,date,the creation date of the account,date,in the form YYMMDD,,The creation date of the account.
62,financial,card,card_id,credit card id,id number of credit card,integer,,P,This is the unique identifier for each credit card.
63,financial,card,disp_id,disposition id,disposition id,integer,,F,This is the disposition ID associated with the card.
64,financial,card,type,,type of credit card,text,"""junior"": junior class of credit card; 
""classic"": standard class of credit card; 
""gold"": high-level credit card",,The type of credit card. Junior: junior class of credit card; classic: standard class of credit card; gold: high-level credit card.
65,financial,card,issued,,the date when the credit card issued ,date,in the form YYMMDD,,This is the date when the credit card was issued.
66,financial,order,order_id,,identifying the unique order,integer,,P,This is the unique identifier for each order.
67,financial,order,account_id,,id number of account,integer,,F,The unique identifier for the account associated with the order.
68,financial,order,bank_to,bank of the recipient,bank of the recipient,text,,,The bank of the recipient.
69,financial,order,account_to,account of the recipient,account of the recipient,integer,each bank has unique two-letter code,,The account number of the recipient.
70,financial,order,amount,debited amount,debited amount,real,,,The debited amount in the order.
71,financial,order,k_symbol,characterization of the payment,purpose of the payment,text,"""POJISTNE"" stands for insurance payment
""SIPO"" stands for household payment
""LEASING"" stands for leasing
""UVER"" stands for loan payment",,"Characterization of the payment. ""POJISTNE"" stands for insurance payment, ""SIPO"" stands for household payment, ""LEASING"" stands for leasing, and ""UVER"" stands for loan payment."
72,financial,disp,disp_id,disposition id,unique number of identifying this row of record,integer,,P,Unique identifier for each disposition record.
73,financial,disp,client_id,,id number of client,integer,,F,Unique identifier for the client.
74,financial,disp,account_id,,id number of account,integer,,F,The unique identifier for the account.
75,financial,disp,type,,type of disposition,text,"""OWNER"" : ""USER"" : ""DISPONENT""
commonsense evidence:
the account can only have the right to issue permanent orders or apply for loans",,The type of disposition. The account can only have the right to issue permanent orders or apply for loans.
