database_name,table_name,original_column_name,column_description,data_format,Difficulty,Difficulty E/M/H/VH
debit_card_specializing,yearmonth,CustomerID,The unique identifier for a customer.,integer,Self-evident,Easy
debit_card_specializing,yearmonth,Date,The year and month of the transaction.,text,Context-Aided,Medium
debit_card_specializing,yearmonth,Consumption,The consumption value for a customer in a specific year and month.,real,Context-Aided,Medium
debit_card_specializing,transactions_1k,TransactionID,Unique identifier for each transaction.,integer,Self-evident,Easy
debit_card_specializing,transactions_1k,Date,The date of the transaction.,date,Self-evident,Easy
debit_card_specializing,transactions_1k,Time,The time of the transaction.,text,Self-evident,Easy
debit_card_specializing,transactions_1k,CustomerID,The unique identifier for the customer associated with the transaction.,integer,Self-evident,Easy
debit_card_specializing,transactions_1k,CardID,The unique identifier for the card used in the transaction.,integer,Self-evident,Easy
debit_card_specializing,transactions_1k,GasStationID,The unique identifier for the gas station where the transaction occurred.,integer,Self-evident,Easy
debit_card_specializing,transactions_1k,ProductID,The unique identifier for the product involved in the transaction.,integer,Self-evident,Easy
debit_card_specializing,transactions_1k,Amount,The quantity of the product involved in the transaction.,integer,Self-evident,Easy
debit_card_specializing,transactions_1k,Price,The price of the transaction.,real,Self-evident,Easy
debit_card_specializing,customers,CustomerID,Unique identifier for each customer.,integer,Self-evident,Easy
debit_card_specializing,customers,Segment,Client segment classification.,text,Ambiguity-Prone,Hard
debit_card_specializing,customers,Currency,The currency used by the customer.,text,Self-evident,Easy
debit_card_specializing,gasstations,GasStationID,Unique identifier for each gas station.,integer,Self-evident,Easy
debit_card_specializing,gasstations,ChainID,Identifier for the chain to which the gas station belongs.,integer,Self-evident,Easy
debit_card_specializing,gasstations,Country,The country where the gas station is located.,text,Self-evident,Easy
debit_card_specializing,gasstations,Segment,The chain segment of the gas station.,text,Context-Aided,Medium
debit_card_specializing,products,ProductID,The unique identifier for each product.,integer,Self-evident,Easy
debit_card_specializing,products,Description,The description of the product.,text,Self-evident,Easy
financial,loan,loan_id,Unique identifier for each loan.,integer,Self-evident,Easy
financial,loan,account_id,This is the ID number identifying the account associated with the loan.,integer,Self-evident,Easy
financial,loan,date,The date when the loan was approved.,date,Self-evident,Easy
financial,loan,amount,The approved loan amount.,integer,Self-evident,Easy
financial,loan,duration,The duration of the loan in months.,integer,Ambiguity-Prone,Hard
financial,loan,payments,The monthly payment amount for the loan.,real,Ambiguity-Prone,Hard
financial,loan,status,The repayment status of the loan.,text,Context-Aided,Medium
financial,client,client_id,A unique identifier for each client.,integer,Self-evident,Easy
financial,client,gender,The gender of the client.,text,Self-evident,Easy
financial,client,birth_date,The birth date of the client.,date,Self-evident,Easy
financial,client,district_id,Identifier for the district where the client is located.,integer,Self-evident,Easy
financial,district,district_id,Unique identifier for each district.,integer,Self-evident,Easy
financial,district,A2,The name of the district.,text,Ambiguity-Prone,Hard
financial,district,A3,The region where the district is located.,text,Ambiguity-Prone,Hard
