,question_id,sql_gold_with,sql_pred_with,sql_pred_without,execution_accuracy_with,execution_accuracy_without,db_id,question,SQL
0,2,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,"SELECT s.Zip
FROM schools s
JOIN frpm f ON s.CDSCode = f.CDSCode
WHERE s.County = 'Fresno' AND s.Charter = 1 AND f.`District Name` = 'Fresno County Office of Education';","SELECT Zip 
FROM schools 
WHERE County = 'Fresno' 
AND Charter = 1;",1,0,california_schools,Please list the zip code of all the charter schools in Fresno County Office of Education.,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1
1,6,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,"SELECT sc.School
FROM satscores ss
JOIN schools sc ON ss.cds = sc.CDSCode
WHERE ss.NumTstTakr > 500 AND sc.Magnet = 1;","SELECT s.*
FROM schools s
JOIN satscores sat ON s.CDSCode = sat.cds
WHERE sat.NumTstTakr > 500
AND s.Magnet = 1",1,0,california_schools,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.",SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500
2,13,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr DESC LIMIT 3,"SELECT Phone
FROM schools
WHERE CDSCode IN (
    SELECT cds
    FROM satscores
    ORDER BY NumGE1500 * 1.0 / NumTstTakr DESC
    LIMIT 3
);","SELECT Phone 
FROM schools 
WHERE CDSCode IN (
    SELECT cds 
    FROM satscores 
    ORDER BY NumGE1500 DESC 
    LIMIT 3
);",1,0,california_schools,Please list the phone numbers of the schools with the top 3 SAT excellence rate.,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr DESC LIMIT 3
3,14,SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,"SELECT NCESSchool
FROM frpm f
JOIN schools s ON f.CDSCode = s.CDSCode
ORDER BY f.`Enrollment (Ages 5-17)` DESC
LIMIT 5;","SELECT s.NCESSchool, f.`Enrollment (Ages 5-17)`
FROM schools s
JOIN frpm f ON s.CDSCode = f.CDSCode
ORDER BY f.`Enrollment (Ages 5-17)` DESC
LIMIT 5;",1,0,california_schools,"List the top five schools, by descending order, from the highest to the lowest, the most number of Enrollment (Ages 5-17). Please give their NCES school identification number.",SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5
4,55,SELECT CAST(SUM(CASE WHEN County = 'Colusa' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN County = 'Humboldt' THEN 1 ELSE 0 END) FROM schools WHERE MailState = 'CA',"SELECT
    (SUM(CASE WHEN County = 'Colusa' THEN 1 ELSE 0 END) * 1.0 / 
    NULLIF(SUM(CASE WHEN County = 'Humboldt' THEN 1 ELSE 0 END), 0)) AS ratio
FROM
    schools
WHERE
    MailState = 'CA';","SELECT
    (SELECT COUNT(*) FROM schools WHERE MailState = 'CA' AND County = 'Colusa') / 
    (SELECT COUNT(*) FROM schools WHERE MailState = 'CA' AND County = 'Humboldt') 
    AS Colusa_to_Humboldt_Ratio;",1,0,california_schools,"Of the schools with a mailing state address in California, what is the ratio of the schools located in the county of Colusa against the school located in the county of Humboldt?",SELECT CAST(SUM(CASE WHEN County = 'Colusa' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN County = 'Humboldt' THEN 1 ELSE 0 END) FROM schools WHERE MailState = 'CA'
5,83,"SELECT T2.City, COUNT(T2.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSoffered = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City","SELECT 
    s.City, 
    COUNT(s.CDSCode) AS Number_of_Schools
FROM 
    schools s
JOIN 
    frpm f ON s.CDSCode = f.CDSCode
WHERE 
    s.GSserved = 'K-8' 
    AND s.Magnet = 1
    AND f.`NSLP Provision Status` LIKE '%Multiple Provision Types%'
GROUP BY 
    s.City;","SELECT 
    school.City, 
    COUNT(school.CDSCode) AS num_schools 
FROM 
    schools AS school
    JOIN frpm ON school.CDSCode = frpm.CDSCode
WHERE 
    school.Magnet = 1
    AND frpm.`Low Grade` = 'K'
    AND frpm.`High Grade` = '8'
    AND EXISTS (
        SELECT 1 
        FROM (
            SELECT DISTINCT `NSLP Provision Status`, `Educational Option Type`
            FROM frpm
            WHERE `NSLP Provision Status` IS NOT NULL 
               OR `Educational Option Type` IS NOT NULL
        ) AS provision_types
        WHERE provision_types.CDSCode = school.CDSCode
    ) 
GROUP BY 
    school.City;",1,0,california_schools,"Of the schools that offers a magnet program serving a grade span of Kindergarten to 8th grade, how many offers Multiple Provision Types? List the number of cities that offers a Kindergarten to 8th grade span and indicate how many schools are there serving such grade span for each city.","SELECT T2.City, COUNT(T2.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSoffered = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City"
6,90,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague',"SELECT COUNT(DISTINCT account.account_id)
FROM account
JOIN district ON account.district_id = district.district_id
JOIN disp ON account.account_id = disp.account_id
JOIN client ON disp.client_id = client.client_id
JOIN loan ON account.account_id = loan.account_id
WHERE district.A3 = 'Prague';","SELECT COUNT(*)
FROM account a
JOIN district d ON a.district_id = d.district_id
JOIN loan l ON a.account_id = l.account_id
WHERE d.A2 = 'Prague'",1,0,financial,How many accounts who have region in Prague are eligible for loans?,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague'
7,105,SELECT T1.district_id FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id WHERE T2.date = '1994-08-25',"SELECT a.district_id
FROM loan l
JOIN account a ON l.account_id = a.account_id
WHERE l.date = '1994-08-25';","SELECT district_id 
FROM account 
WHERE account_id = (
    SELECT account_id 
    FROM loan 
    WHERE date = '1994-08-25' AND status = 'approved'
);",1,0,financial,"There was a loan approved in 1994/8/25, where was that account opened, give the district Id of the branch.",SELECT T1.district_id FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id WHERE T2.date = '1994-08-25'
8,121,"SELECT T1.account_id, T1.date FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A2 = 'Prachatice'","SELECT a.account_id, a.date
FROM account a
JOIN district d ON a.district_id = d.district_id
WHERE d.A2 = 'Prachatice';","SELECT account.account_id, account.date 
FROM account
JOIN district ON account.district_id = district.district_id
WHERE district.A3 = 'Prachatice'",1,0,financial,List account ID and account opening date for accounts from 'Prachatice'.,"SELECT T1.account_id, T1.date FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A2 = 'Prachatice'"
9,122,"SELECT T2.A2, T2.A3 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.loan_id = 4990","SELECT district.A2 AS district, district.A3 AS region
FROM loan
JOIN account ON loan.account_id = account.account_id
JOIN district ON account.district_id = district.district_id
WHERE loan.loan_id = 4990;","SELECT district.A3 AS region, district.A4 AS district
FROM loan
JOIN account ON loan.account_id = account.account_id
JOIN district ON account.district_id = district.district_id
WHERE loan.loan_id = 4990;",1,0,financial,State the district and region for loan ID '4990'.,"SELECT T2.A2, T2.A3 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.loan_id = 4990"
