,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description
0,debit_card_specializing,products.csv,ProductID,Product ID,Product ID,integer,
1,debit_card_specializing,products.csv,Description,,Description,text,
2,debit_card_specializing,yearmonth.csv,CustomerID,Customer ID,Customer ID,integer,
3,debit_card_specializing,yearmonth.csv,Date,,Date,text,
4,debit_card_specializing,yearmonth.csv,Consumption,,consumption,real,
5,debit_card_specializing,transactions_1k.csv,TransactionID,Transaction ID,Transaction ID,integer,
6,debit_card_specializing,transactions_1k.csv,Date,,Date,date,
7,debit_card_specializing,transactions_1k.csv,Time,,Time,text,
8,debit_card_specializing,transactions_1k.csv,CustomerID,Customer ID,Customer ID,integer,
9,debit_card_specializing,transactions_1k.csv,CardID,Card ID,Card ID,integer,
10,debit_card_specializing,transactions_1k.csv,GasStationID,Gas Station ID,Gas Station ID,integer,
11,debit_card_specializing,transactions_1k.csv,ProductID,Product ID,Product ID,integer,
12,debit_card_specializing,transactions_1k.csv,Amount,,Amount,integer,
13,debit_card_specializing,transactions_1k.csv,Price,,Price,real,"commonsense evidence:

total price = Amount x Price"
14,debit_card_specializing,customers.csv,CustomerID,,identification of the customer,integer,
15,debit_card_specializing,customers.csv,Segment,client segment,client segment,text,
16,debit_card_specializing,customers.csv,Currency,,Currency,text,
17,debit_card_specializing,gasstations.csv,GasStationID,Gas Station ID,Gas Station ID,integer,
18,debit_card_specializing,gasstations.csv,ChainID,Chain ID,Chain ID,integer,
19,debit_card_specializing,gasstations.csv,Country,,,text,
20,debit_card_specializing,gasstations.csv,Segment,chain segment,chain segment,text,
21,financial,loan.csv,loan_id,,the id number identifying the loan data,integer,
22,financial,loan.csv,account_id,,the id number identifying the account,integer,
23,financial,loan.csv,date,,the date when the loan is approved,date,
24,financial,loan.csv,amount,,approved amount,integer,unit：US dollar
25,financial,loan.csv,duration,,loan duration,integer,unit：month
26,financial,loan.csv,payments,monthly payments,monthly payments,real,unit：month
27,financial,loan.csv,status,,repayment status,text,"'A' stands for contract finished, no problems;
'B' stands for contract finished, loan not paid;
'C' stands for running contract, OK so far;
'D' stands for running contract, client in debt"
28,financial,client.csv,client_id,,the unique number,integer,
29,financial,client.csv,gender,,,text,"F：female 
M：male "
30,financial,client.csv,birth_date,,birth date,date,
31,financial,client.csv,district_id,location of branch,location of branch,integer,
32,financial,district.csv,district_id,location of branch,location of branch,integer ,
33,financial,district.csv,A2,district_name,district_name,text,
34,financial,district.csv,A3,region,region,text,
35,financial,district.csv,A4,number of inhabitants ,,text,
36,financial,district.csv,A5,no. of municipalities with inhabitants < 499,municipality < district < region,text,
37,financial,district.csv,A6,no. of municipalities with inhabitants 500-1999,municipality < district < region,text,
38,financial,district.csv,A7,no. of municipalities with inhabitants 2000-9999,municipality < district < region,text,
39,financial,district.csv,A8,no. of municipalities with inhabitants > 10000,municipality < district < region,integer,
40,financial,district.csv,A9,,,integer,not useful
41,financial,district.csv,A10,ratio of urban inhabitants,ratio of urban inhabitants,real,
42,financial,district.csv,A11,average salary,average salary,integer,
43,financial,district.csv,A12,unemployment rate 1995,unemployment rate 1995,real,
44,financial,district.csv,A13,unemployment rate 1996,unemployment rate 1996,real,
45,financial,district.csv,A14,no. of entrepreneurs per 1000 inhabitants,no. of entrepreneurs per 1000 inhabitants,integer,
46,financial,district.csv,A15,no. of committed crimes 1995,no. of committed crimes 1995,integer,
47,financial,district.csv,A16,no. of committed crimes 1996,no. of committed crimes 1996,integer,
48,financial,trans.csv,trans_id,transaction id,transaction id,integer,
49,financial,trans.csv,account_id,,,integer,
50,financial,trans.csv,date,date of transaction,date of transaction,date,
51,financial,trans.csv,type,+/- transaction,+/- transaction,text,"""PRIJEM"" stands for credit
""VYDAJ"" stands for withdrawal"
52,financial,trans.csv,operation,mode of transaction,mode of transaction,text,"""VYBER KARTOU"": credit card withdrawal
""VKLAD"": credit in cash
""PREVOD Z UCTU"" :collection from another bank
""VYBER"": withdrawal in cash
""PREVOD NA UCET"": remittance to another bank"
53,financial,trans.csv,amount,amount of money,amount of money,integer,Unit：USD
54,financial,trans.csv,balance,balance after transaction,balance after transaction,integer,Unit：USD
55,financial,trans.csv,k_symbol,characterization of the transaction,,text,"""POJISTNE"": stands for insurrance payment
""SLUZBY"": stands for payment for statement
""UROK"": stands for interest credited
""SANKC. UROK"": sanction interest if negative balance
""SIPO"": stands for household
""DUCHOD"": stands for old-age pension
""UVER"": stands for loan payment"
56,financial,trans.csv,bank,bank of the partner,,text,each bank has unique two-letter code
57,financial,trans.csv,account,account of the partner,,integer,
58,financial,account.csv,account_id,account id,the id of the account,integer,
59,financial,account.csv,district_id,location of branch,location of branch,integer ,
60,financial,account.csv,frequency,frequency,frequency of the acount,text,"""POPLATEK MESICNE"" stands for monthly issuance
""POPLATEK TYDNE"" stands for weekly issuance
""POPLATEK PO OBRATU"" stands for issuance after transaction"
61,financial,account.csv,date,date,the creation date of the account,date,in the form YYMMDD
62,financial,card.csv,card_id,credit card id,id number of credit card,integer,
63,financial,card.csv,disp_id,disposition id,disposition id,integer,
64,financial,card.csv,type,,type of credit card,text,"""junior"": junior class of credit card; 
""classic"": standard class of credit card; 
""gold"": high-level credit card"
65,financial,card.csv,issued,,the date when the credit card issued ,date,in the form YYMMDD
66,financial,order.csv,order_id,,identifying the unique order,integer,
67,financial,order.csv,account_id,,id number of account,integer,
68,financial,order.csv,bank_to,bank of the recipient,bank of the recipient,text,
69,financial,order.csv,account_to,account of the recipient,account of the recipient,integer,each bank has unique two-letter code
70,financial,order.csv,amount,debited amount,debited amount,real,
71,financial,order.csv,k_symbol,characterization of the payment,purpose of the payment,text,"""POJISTNE"" stands for insurance payment
""SIPO"" stands for household payment
""LEASING"" stands for leasing
""UVER"" stands for loan payment"
72,financial,disp.csv,disp_id,disposition id,unique number of identifying this row of record,integer,
73,financial,disp.csv,client_id,,id number of client,integer,
74,financial,disp.csv,account_id,,id number of account,integer,
75,financial,disp.csv,type,,type of disposition,text,"""OWNER"" : ""USER"" : ""DISPONENT""
commonsense evidence:
the account can only have the right to issue permanent orders or apply for loans"
76,formula_1,circuits.csv,circuitId,circuit Id ,unique identification number of the circuit ,integer ,
77,formula_1,circuits.csv,circuitRef,circuit reference name ,circuit reference name ,text,
78,formula_1,circuits.csv,name ,,full name of circuit ,text,
79,formula_1,circuits.csv,location  ,,location of circuit ,text,
80,formula_1,circuits.csv,country ,,country of circuit ,text,
81,formula_1,circuits.csv,lat ,latitude  ,latitude of location of circuit ,real,
82,formula_1,circuits.csv,lng ,longitude  ,longitude of location of circuit ,real,"commonsense evidence: 
Location coordinates: (lat, lng)"
83,formula_1,circuits.csv,alt ,,,integer ,not useful 
84,formula_1,circuits.csv,url ,,url ,text,
85,formula_1,status.csv,statusId ,status ID,the unique identification number identifying status,integer,
86,formula_1,status.csv,status ,,full name of status ,text,
87,formula_1,drivers.csv,driverId ,driver ID ,the unique identification number identifying each driver,integer,
88,formula_1,drivers.csv,driverRef ,driver reference name ,driver reference name ,text,
89,formula_1,drivers.csv,number ,,number ,integer,
90,formula_1,drivers.csv,code ,,abbreviated code for drivers ,text,"if ""null"" or empty, it means it doesn't have code "
91,formula_1,drivers.csv,forename ,,forename ,text,
92,formula_1,drivers.csv,surname ,,surname ,text,
93,formula_1,drivers.csv,dob ,date of birth ,date of birth ,date,
94,formula_1,drivers.csv,nationality ,,nationality of drivers ,text,
95,formula_1,drivers.csv,url ,,the introduction website of the drivers ,text,
96,formula_1,driverStandings.csv,driverStandingsId ,driver Standings Id ,the unique identification number identifying driver standing records ,integer,
97,formula_1,driverStandings.csv,raceId ,constructor Reference name ,id number identifying which races ,integer,
98,formula_1,driverStandings.csv,driverId ,,id number identifying which drivers ,integer,
99,formula_1,driverStandings.csv,points ,,how many points acquired in each race ,real,
100,formula_1,driverStandings.csv,position ,,position or track of circuits ,integer,
101,formula_1,driverStandings.csv,positionText ,position text ,,text,"same with position, not quite useful "
