,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description,type
21,financial,loan,loan_id,,the id number identifying the loan data,integer,,P
22,financial,loan,account_id,,the id number identifying the account,integer,,F
23,financial,loan,date,,the date when the loan is approved,date,,
24,financial,loan,amount,,approved amount,integer,unit：US dollar,
25,financial,loan,duration,,loan duration,integer,unit：month,
26,financial,loan,payments,monthly payments,monthly payments,real,unit：month,
27,financial,loan,status,,repayment status,text,"'A' stands for contract finished, no problems;
'B' stands for contract finished, loan not paid;
'C' stands for running contract, OK so far;
'D' stands for running contract, client in debt",
28,financial,client,client_id,,the unique number,integer,,P
29,financial,client,gender,,,text,"F：female 
M：male ",
30,financial,client,birth_date,,birth date,date,,
31,financial,client,district_id,location of branch,location of branch,integer,,F
32,financial,district,district_id,location of branch,location of branch,integer ,,P
33,financial,district,A2,district_name,district_name,text,,
34,financial,district,A3,region,region,text,,
35,financial,district,A4,number of inhabitants ,,text,,
36,financial,district,A5,no. of municipalities with inhabitants < 499,municipality < district < region,text,,
37,financial,district,A6,no. of municipalities with inhabitants 500-1999,municipality < district < region,text,,
38,financial,district,A7,no. of municipalities with inhabitants 2000-9999,municipality < district < region,text,,
39,financial,district,A8,no. of municipalities with inhabitants > 10000,municipality < district < region,integer,,
40,financial,district,A9,,,integer,not useful,
41,financial,district,A10,ratio of urban inhabitants,ratio of urban inhabitants,real,,
42,financial,district,A11,average salary,average salary,integer,,
43,financial,district,A12,unemployment rate 1995,unemployment rate 1995,real,,
44,financial,district,A13,unemployment rate 1996,unemployment rate 1996,real,,
45,financial,district,A14,no. of entrepreneurs per 1000 inhabitants,no. of entrepreneurs per 1000 inhabitants,integer,,
46,financial,district,A15,no. of committed crimes 1995,no. of committed crimes 1995,integer,,
47,financial,district,A16,no. of committed crimes 1996,no. of committed crimes 1996,integer,,
48,financial,trans,trans_id,transaction id,transaction id,integer,,P
49,financial,trans,account_id,,,integer,,F
50,financial,trans,date,date of transaction,date of transaction,date,,
51,financial,trans,type,+/- transaction,+/- transaction,text,"""PRIJEM"" stands for credit
""VYDAJ"" stands for withdrawal",
52,financial,trans,operation,mode of transaction,mode of transaction,text,"""VYBER KARTOU"": credit card withdrawal
""VKLAD"": credit in cash
""PREVOD Z UCTU"" :collection from another bank
""VYBER"": withdrawal in cash
""PREVOD NA UCET"": remittance to another bank",
53,financial,trans,amount,amount of money,amount of money,integer,Unit：USD,
54,financial,trans,balance,balance after transaction,balance after transaction,integer,Unit：USD,
55,financial,trans,k_symbol,characterization of the transaction,,text,"""POJISTNE"": stands for insurrance payment
""SLUZBY"": stands for payment for statement
""UROK"": stands for interest credited
""SANKC. UROK"": sanction interest if negative balance
""SIPO"": stands for household
""DUCHOD"": stands for old-age pension
""UVER"": stands for loan payment",
56,financial,trans,bank,bank of the partner,,text,each bank has unique two-letter code,
57,financial,trans,account,account of the partner,,integer,,
58,financial,account,account_id,account id,the id of the account,integer,,P
59,financial,account,district_id,location of branch,location of branch,integer ,,F
60,financial,account,frequency,frequency,frequency of the acount,text,"""POPLATEK MESICNE"" stands for monthly issuance
""POPLATEK TYDNE"" stands for weekly issuance
""POPLATEK PO OBRATU"" stands for issuance after transaction",
61,financial,account,date,date,the creation date of the account,date,in the form YYMMDD,
62,financial,card,card_id,credit card id,id number of credit card,integer,,P
63,financial,card,disp_id,disposition id,disposition id,integer,,F
64,financial,card,type,,type of credit card,text,"""junior"": junior class of credit card; 
""classic"": standard class of credit card; 
""gold"": high-level credit card",
65,financial,card,issued,,the date when the credit card issued ,date,in the form YYMMDD,
66,financial,order,order_id,,identifying the unique order,integer,,P
67,financial,order,account_id,,id number of account,integer,,F
68,financial,order,bank_to,bank of the recipient,bank of the recipient,text,,
69,financial,order,account_to,account of the recipient,account of the recipient,integer,each bank has unique two-letter code,
70,financial,order,amount,debited amount,debited amount,real,,
71,financial,order,k_symbol,characterization of the payment,purpose of the payment,text,"""POJISTNE"" stands for insurance payment
""SIPO"" stands for household payment
""LEASING"" stands for leasing
""UVER"" stands for loan payment",
72,financial,disp,disp_id,disposition id,unique number of identifying this row of record,integer,,P
73,financial,disp,client_id,,id number of client,integer,,F
74,financial,disp,account_id,,id number of account,integer,,F
75,financial,disp,type,,type of disposition,text,"""OWNER"" : ""USER"" : ""DISPONENT""
commonsense evidence:
the account can only have the right to issue permanent orders or apply for loans",
