,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description,type,llm_column_description
21,financial,loan,loan_id,,the id number identifying the loan data,integer,,P,Primary key identifying each loan entry.
22,financial,loan,account_id,,the id number identifying the account,integer,,F,Primary key identifying each unique loan account.
23,financial,loan,date,,the date when the loan is approved,date,,,The date column represents the date when a loan was initiated.
24,financial,loan,amount,,approved amount,integer,unit：US dollar,,The amount column represents the monetary value associated with each loan.
25,financial,loan,duration,,loan duration,integer,unit：month,,The duration column represents the length of time in months for which the loan is taken.
26,financial,loan,payments,monthly payments,monthly payments,real,unit：month,,The payments column represents the amount paid regularly towards the loan.
27,financial,loan,status,,repayment status,text,"'A' stands for contract finished, no problems;
'B' stands for contract finished, loan not paid;
'C' stands for running contract, OK so far;
'D' stands for running contract, client in debt",,The status column indicates the current status of the loan.
28,financial,client,client_id,,the unique number,integer,,P,The client_id column serves as the primary key for identifying clients uniquely.
29,financial,client,gender,,,text,"F：female 
M：male ",,The gender column stores the gender of the individuals.
30,financial,client,birth_date,,birth date,date,,,The birth_date column stores the date of birth of the clients.
31,financial,client,district_id,location of branch,location of branch,integer,,F,The district_id column represents the unique identifier for the district associated with each client.
32,financial,district,district_id,location of branch,location of branch,integer ,,P,The district_id column serves as the primary key for uniquely identifying districts.
33,financial,district,A2,district_name,district_name,text,,,The A2 column contains the name of the district.
34,financial,district,A3,region,region,text,,,The A3 column contains the name of the district.
35,financial,district,A4,number of inhabitants ,,text,,,The A4 column in the district table represents the population count.
36,financial,district,A5,no. of municipalities with inhabitants < 499,municipality < district < region,text,,,The A5 column contains the name of the district.
37,financial,district,A6,no. of municipalities with inhabitants 500-1999,municipality < district < region,text,,,The A6 column in the district table represents the number of municipalities in the district.
38,financial,district,A7,no. of municipalities with inhabitants 2000-9999,municipality < district < region,text,,,The A7 column in the district table represents the number of municipalities in the district.
39,financial,district,A8,no. of municipalities with inhabitants > 10000,municipality < district < region,integer,,,The A8 column represents the number of inhabitants in the area.
40,financial,district,A9,,,integer,not useful,,The A9 column represents the percentage of urban population in the area.
41,financial,district,A10,ratio of urban inhabitants,ratio of urban inhabitants,real,,,The A10 column represents the percentage of urban population in the area.
42,financial,district,A11,average salary,average salary,integer,,,The A11 column represents the number of municipalities in the district.
43,financial,district,A12,unemployment rate 1995,unemployment rate 1995,real,,,The A12 column represents the percentage of urban population in the area.
44,financial,district,A13,unemployment rate 1996,unemployment rate 1996,real,,,The column A13 represents the average salary in the region.
45,financial,district,A14,no. of entrepreneurs per 1000 inhabitants,no. of entrepreneurs per 1000 inhabitants,integer,,,The A14 column represents the number of municipalities in the region.
46,financial,district,A15,no. of committed crimes 1995,no. of committed crimes 1995,integer,,,The A15 column represents the number of households in the area.
47,financial,district,A16,no. of committed crimes 1996,no. of committed crimes 1996,integer,,,The A16 column represents the number of inhabitants in the area.
48,financial,trans,trans_id,transaction id,transaction id,integer,,P,The primary purpose of the trans_id column is to uniquely identify each transaction entry.
49,financial,trans,account_id,,,integer,,F,The primary purpose of the account_id column is to uniquely identify different accounts.
50,financial,trans,date,date of transaction,date of transaction,date,,,The date column represents the date of the transaction.
51,financial,trans,type,+/- transaction,+/- transaction,text,"""PRIJEM"" stands for credit
""VYDAJ"" stands for withdrawal",,The type column indicates the nature or category of the transaction.
52,financial,trans,operation,mode of transaction,mode of transaction,text,"""VYBER KARTOU"": credit card withdrawal
""VKLAD"": credit in cash
""PREVOD Z UCTU"" :collection from another bank
""VYBER"": withdrawal in cash
""PREVOD NA UCET"": remittance to another bank",,The operation column in the trans table indicates the type of financial transaction performed.
53,financial,trans,amount,amount of money,amount of money,integer,Unit：USD,,The amount column represents the monetary value associated with each transaction.
54,financial,trans,balance,balance after transaction,balance after transaction,integer,Unit：USD,,The balance column represents the current balance of the account at the time of the transaction.
55,financial,trans,k_symbol,characterization of the transaction,,text,"""POJISTNE"": stands for insurrance payment
""SLUZBY"": stands for payment for statement
""UROK"": stands for interest credited
""SANKC. UROK"": sanction interest if negative balance
""SIPO"": stands for household
""DUCHOD"": stands for old-age pension
""UVER"": stands for loan payment",,The k_symbol column indicates the specific symbol associated with a transaction.
56,financial,trans,bank,bank of the partner,,text,each bank has unique two-letter code,,The bank column contains information about the bank associated with the transaction.
57,financial,trans,account,account of the partner,,integer,,,The account column in the trans table stores the account_id associated with each transaction.
58,financial,account,account_id,account id,the id of the account,integer,,P,The primary purpose of the account_id column is to uniquely identify each account.
59,financial,account,district_id,location of branch,location of branch,integer ,,F,The district_id column serves as a unique identifier for districts.
60,financial,account,frequency,frequency,frequency of the acount,text,"""POPLATEK MESICNE"" stands for monthly issuance
""POPLATEK TYDNE"" stands for weekly issuance
""POPLATEK PO OBRATU"" stands for issuance after transaction",,The frequency column indicates the regularity of payments made.
61,financial,account,date,date,the creation date of the account,date,in the form YYMMDD,,The date column stores the date associated with a specific account entry.
62,financial,card,card_id,credit card id,id number of credit card,integer,,P,The card_id column uniquely identifies each card in the database.
63,financial,card,disp_id,disposition id,disposition id,integer,,F,The primary purpose of the disp_id column is to uniquely identify a record in the table.
64,financial,card,type,,type of credit card,text,"""junior"": junior class of credit card; 
""classic"": standard class of credit card; 
""gold"": high-level credit card",,The type column indicates the type of card issued.
65,financial,card,issued,,the date when the credit card issued ,date,in the form YYMMDD,,The column represents the date when the card was issued.
66,financial,order,order_id,,identifying the unique order,integer,,P,The primary purpose of the order_id column is to uniquely identify each order in the database.
67,financial,order,account_id,,id number of account,integer,,F,The account_id column uniquely identifies each record in the table.
68,financial,order,bank_to,bank of the recipient,bank of the recipient,text,,,The bank_to column contains the name of the bank where the transaction is directed.
69,financial,order,account_to,account of the recipient,account of the recipient,integer,each bank has unique two-letter code,,The account_to column contains the account number where the transaction amount is being transferred.
70,financial,order,amount,debited amount,debited amount,real,,,The amount column represents the monetary value associated with each order.
71,financial,order,k_symbol,characterization of the payment,purpose of the payment,text,"""POJISTNE"" stands for insurance payment
""SIPO"" stands for household payment
""LEASING"" stands for leasing
""UVER"" stands for loan payment",,The k_symbol column in the order table indicates the specific symbol associated with the transaction.
