,database_name,table_name,original_column_name,llm_column_description,data_format
0,debit_card_specializing,yearmonth,CustomerID,The unique identifier for a customer.,integer
1,debit_card_specializing,yearmonth,Date,The year and month of the transaction.,text
2,debit_card_specializing,yearmonth,Consumption,The consumption value for a customer in a specific year and month.,real
3,debit_card_specializing,transactions_1k,TransactionID,Unique identifier for each transaction.,integer
4,debit_card_specializing,transactions_1k,Date,The date of the transaction.,date
5,debit_card_specializing,transactions_1k,Time,The time of the transaction.,text
6,debit_card_specializing,transactions_1k,CustomerID,The unique identifier for the customer associated with the transaction.,integer
7,debit_card_specializing,transactions_1k,CardID,The unique identifier for the card used in the transaction.,integer
8,debit_card_specializing,transactions_1k,GasStationID,The unique identifier for the gas station where the transaction occurred.,integer
9,debit_card_specializing,transactions_1k,ProductID,The unique identifier for the product involved in the transaction.,integer
10,debit_card_specializing,transactions_1k,Amount,The quantity of the product involved in the transaction.,integer
11,debit_card_specializing,transactions_1k,Price,The price of the transaction.,real
12,debit_card_specializing,customers,CustomerID,Unique identifier for each customer.,integer
13,debit_card_specializing,customers,Segment,Client segment classification.,text
14,debit_card_specializing,customers,Currency,The currency used by the customer.,text
15,debit_card_specializing,gasstations,GasStationID,Unique identifier for each gas station.,integer
16,debit_card_specializing,gasstations,ChainID,Identifier for the chain to which the gas station belongs.,integer
17,debit_card_specializing,gasstations,Country,The country where the gas station is located.,text
18,debit_card_specializing,gasstations,Segment,The chain segment of the gas station.,text
19,debit_card_specializing,products,ProductID,The unique identifier for each product.,integer
20,debit_card_specializing,products,Description,The description of the product.,text
21,financial,loan,loan_id,Unique identifier for each loan.,integer
22,financial,loan,account_id,This is the ID number identifying the account associated with the loan.,integer
23,financial,loan,date,The date when the loan was approved.,date
24,financial,loan,amount,The approved loan amount.,integer
25,financial,loan,duration,The duration of the loan in months.,integer
26,financial,loan,payments,The monthly payment amount for the loan.,real
27,financial,loan,status,The repayment status of the loan.,text
28,financial,client,client_id,A unique identifier for each client.,integer
29,financial,client,gender,The gender of the client.,text
30,financial,client,birth_date,The birth date of the client.,date
31,financial,client,district_id,Identifier for the district where the client is located.,integer
32,financial,district,district_id,Unique identifier for each district.,integer
33,financial,district,A2,The name of the district.,text
34,financial,district,A3,The region where the district is located.,text
35,financial,district,A4,The number of inhabitants in the district.,text
36,financial,district,A5,This is the number of municipalities with fewer than 499 inhabitants in the district.,text
37,financial,district,A6,This is the number of municipalities with inhabitants between 500 and 1999 in the district.,text
38,financial,district,A7,This is the number of municipalities with 2000-9999 inhabitants in the district.,text
39,financial,district,A8,"This is the number of municipalities with more than 10,000 inhabitants in the district.",integer
40,financial,district,A9,The number of cities in the district.,integer
41,financial,district,A10,The ratio of urban inhabitants in the district.,real
42,financial,district,A11,The average salary in the district.,integer
43,financial,district,A12,The unemployment rate in the district in 1995.,real
44,financial,district,A13,The unemployment rate in the district in 1996.,real
45,financial,district,A14,The number of entrepreneurs per 1000 inhabitants in the district.,integer
46,financial,district,A15,The number of committed crimes in the district in 1995.,integer
47,financial,district,A16,The number of committed crimes in the district in 1996.,integer
48,financial,trans,trans_id,Unique identifier for each transaction.,integer
49,financial,trans,account_id,The unique identifier for the account associated with the transaction.,integer
50,financial,trans,date,The date of the transaction.,date
51,financial,trans,type,The type of transaction.,text
52,financial,trans,operation,The type of transaction operation.,text
53,financial,trans,amount,The amount of money involved in the transaction.,integer
54,financial,trans,balance,The balance after the transaction.,integer
55,financial,trans,k_symbol,Characterization of the transaction.,text
56,financial,trans,bank,The bank of the partner involved in the transaction.,text
57,financial,trans,account,The account number of the partner involved in the transaction.,integer
58,financial,account,account_id,This is the unique identifier for the account.,integer
59,financial,account,district_id,The identifier for the district where the account is located.,integer
60,financial,account,frequency,The frequency of transactions on the account.,text
61,financial,account,date,The creation date of the account.,date
62,financial,card,card_id,Unique identifier for each credit card.,integer
63,financial,card,disp_id,The identifier for the disposition associated with the card.,integer
64,financial,card,type,The type of credit card issued.,text
65,financial,card,issued,The date when the credit card was issued.,date
66,financial,order,order_id,This is the unique identifier for each order.,integer
67,financial,order,account_id,The unique identifier for the account associated with the order.,integer
68,financial,order,bank_to,The bank of the recipient associated with the order.,text
69,financial,order,account_to,The account number of the recipient associated with the order.,integer
70,financial,order,amount,The amount of money in the order.,real
71,financial,order,k_symbol,Characterization of the payment for the order.,text
72,financial,disp,disp_id,Unique identifier for each disposition record.,integer
73,financial,disp,client_id,The unique identifier for the client associated with the disposition.,integer
74,financial,disp,account_id,The unique identifier for the account associated with the disposition.,integer
75,financial,disp,type,The type of disposition.,text
76,formula_1,circuits,circuitId,Unique identification number for each circuit.,integer
77,formula_1,circuits,circuitRef,The unique reference name for the circuit.,text
78,formula_1,circuits,name,The name of the circuit.,text
79,formula_1,circuits,location,The city or locality where the circuit is situated.,text
80,formula_1,circuits,country,The country where the circuit is located.,text
81,formula_1,circuits,lat,Latitude of the circuit location.,real
82,formula_1,circuits,lng,The longitude of the circuit's location.,real
83,formula_1,circuits,alt,The altitude of the circuit location.,integer
84,formula_1,circuits,url,The URL of the circuit's Wikipedia page.,text
85,formula_1,status,statusId,The unique identification number for each status.,integer
86,formula_1,status,status,The status of the race or event.,text
87,formula_1,drivers,driverId,The unique identification number assigned to each driver.,integer
88,formula_1,drivers,driverRef,The unique reference identifier for each driver.,text
89,formula_1,drivers,number,The racing number assigned to the driver.,integer
90,formula_1,drivers,code,Abbreviated code for drivers.,text
91,formula_1,drivers,forename,The first name of the driver.,text
92,formula_1,drivers,surname,The surname of the driver.,text
93,formula_1,drivers,dob,The date of birth of the driver.,date
94,formula_1,drivers,nationality,The nationality of the driver.,text
95,formula_1,drivers,url,The URL of the driver's Wikipedia page.,text
96,formula_1,driverStandings,driverStandingsId,The unique identification number for driver standing records.,integer
97,formula_1,driverStandings,raceId,Identifier for the race associated with the driver's standings.,integer
98,formula_1,driverStandings,driverId,Unique identifier for the driver.,integer
99,formula_1,driverStandings,points,The number of points a driver has accumulated in a race.,real
100,formula_1,driverStandings,position,The position of the driver in the race standings.,integer
101,formula_1,driverStandings,positionText,The position of the driver as a text value.,text
102,formula_1,driverStandings,wins,The number of wins achieved by the driver.,integer
103,formula_1,races,raceId,The unique identification number for each race.,integer
104,formula_1,races,year,The year the race took place.,integer
105,formula_1,races,round,The round number of the race within the season.,integer
106,formula_1,races,circuitId,The unique identifier for the circuit where the race took place.,integer
107,formula_1,races,name,The name of the race.,text
108,formula_1,races,date,The date of the race.,date
109,formula_1,races,time,The scheduled start time of the race.,text
110,formula_1,races,url,The URL of the Wikipedia page for the race.,text
111,formula_1,constructors,constructorId,This is the unique identifier for each constructor.,integer
112,formula_1,constructors,constructorRef,This is the unique reference name for each constructor.,text
113,formula_1,constructors,name,The full name of the constructor.,text
114,formula_1,constructors,nationality,The nationality of the constructor.,text
115,formula_1,constructors,url,The URL of the constructor's official webpage.,text
117,formula_1,constructorResults,constructorResultsId,Unique identifier for each constructor result.,integer
118,formula_1,constructorResults,raceId,The unique identifier for the race associated with the constructor's results.,integer
119,formula_1,constructorResults,constructorId,The unique identifier for the constructor.,integer
120,formula_1,constructorResults,points,Points scored by the constructor in the race.,real
121,formula_1,constructorResults,status,The status of the constructor associated with the constructor result entry.,text
122,formula_1,lapTimes,raceId,The identification number of the race during which the lap time was recorded.,integer
123,formula_1,lapTimes,driverId,The identification number of the driver who recorded the lap time.,integer
124,formula_1,lapTimes,lap,The lap number of which the lap time was recorded.,integer
125,formula_1,lapTimes,position,The position of the driver at the end of the lap.,integer
126,formula_1,lapTimes,time,The lap time recorded for each lap.,text
127,formula_1,lapTimes,milliseconds,The time in milliseconds for a lap.,integer
128,formula_1,qualifying,qualifyId,The unique identifier for each qualifying session entry.,integer
129,formula_1,qualifying,raceId,The ID for the race associated with the qualifying session entry.,integer
130,formula_1,qualifying,driverId,The ID of the driver associated with the qualifying session entry.,integer
131,formula_1,qualifying,constructorId,The ID of the constructor associated with the driver in the qualifying session entry.,integer
132,formula_1,qualifying,number,The driver's car number in the qualifying session entry.,integer
133,formula_1,qualifying,position,The position of the driver in the qualifying session.,integer
134,formula_1,qualifying,q1,The time recorded for the driver in the first qualifying session period Q1.,text
135,formula_1,qualifying,q2,The time recorded for the driver in the second qualifying session period Q2.,text
136,formula_1,qualifying,q3,The time recorded for the driver in the third qualifying session period Q3.,text
137,formula_1,pitStops,raceId,The identification number for the race where the pit stop occured.,integer
138,formula_1,pitStops,driverId,The identification number for the driver that made the pit stop.,integer
139,formula_1,pitStops,stop,The i:th pit stop number the pit stop corresponds to for the specified driver and race.,integer
140,formula_1,pitStops,lap,The lap number during which the pit stop occurred.,integer
141,formula_1,pitStops,time,The timestamp of when the pit stop occurred.,text
142,formula_1,pitStops,duration,The duration of the pit stop in text format.,text
143,formula_1,pitStops,milliseconds,The duration of the pit stop in milliseconds.,integer
144,formula_1,seasons,year,The year the Formula One season took place.,integer
145,formula_1,seasons,url,The URL linking to the Wikipedia page for the specific Formula One season.,text
146,formula_1,constructorStandings,constructorStandingsId,Unique identifier for each constructor standing record.,integer
147,formula_1,constructorStandings,raceId,Identifier for the race associated with the constructor's standings.,integer
148,formula_1,constructorStandings,constructorId,Identifier for the constructor associated with the standings.,integer
149,formula_1,constructorStandings,points,The number of points acquired by a constructor in each race.,
150,formula_1,constructorStandings,position,The overall position of the constructor after the specified race.,integer
151,formula_1,constructorStandings,positionText,The overall position of the constructor after the specified race in text format.,text
152,formula_1,constructorStandings,wins,The number of wins achieved by the constructor.,integer
153,formula_1,results,resultId,This is the unique identifier for each race result.,integer
154,formula_1,results,raceId,The unique identifier for each race.,integer
155,formula_1,results,driverId,The identification number of the driver.,integer
156,formula_1,results,constructorId,The identification number of the constructor associated with the result.,integer
157,formula_1,results,number,The racing number assigned to the driver.,integer
158,formula_1,results,grid,The starting position of the driver on the grid.,integer
159,formula_1,results,position,The finishing position of the driver in the race.,integer
160,formula_1,results,positionText,The finishing position of the driver in the race as a text value.,text
161,formula_1,results,positionOrder,The order in which drivers finished the race.,integer
162,formula_1,results,points,The points scored by the driver in the race.,real
163,formula_1,results,laps,The number of laps completed by the driver in the race.,integer
164,formula_1,results,time,The finish time of the driver in the race.,text
165,formula_1,results,milliseconds,The finishing time of the driver in the race in milliseconds.,integer
166,formula_1,results,fastestLap,The number of the fastest lap in the race for the driver.,integer
167,formula_1,results,rank,The overall rank of the driver's fastest lap time in the race.,integer
168,formula_1,results,fastestLapTime,The fastest lap time recorded by the driver during the race.,text
169,formula_1,results,fastestLapSpeed,The speed of the fastest lap achieved by the driver during the race.,text
170,formula_1,results,statusId,The status ID associated with the result.,integer
171,california_schools,schools,CDSCode,A unique identifier for each school.,text
172,california_schools,schools,NCESDist,This field represents the 7-digit National Center for Educational Statistics (NCES) school district identification number.,text
173,california_schools,schools,NCESSchool,This field represents the 5-digit NCES school identification number. The NCESSchool combined with the NCESDist form a unique 12-digit ID for each school.,text
174,california_schools,schools,StatusType,This field identifies the operational status of the school.,text
175,california_schools,schools,County,The name of the county where the school is located.,text
176,california_schools,schools,District,The name of the school district.,text
177,california_schools,schools,School,The name of the school.,text
178,california_schools,schools,Street,The street address of the school.,text
179,california_schools,schools,StreetAbr,"The abbreviated street address of the school, district, or administrative authority’s physical location.",text
180,california_schools,schools,City,The city where the school is located.,text
181,california_schools,schools,Zip,The ZIP code of the school's location.,text
182,california_schools,schools,State,The state where the school is located.,text
183,california_schools,schools,MailStreet,The mailing address of the school.,text
184,california_schools,schools,MailStrAbr,Abbreviated mailing street address of the school.,text
