database_name,table_name,original_column_name,column_description,data_format,arbitrary_column_name
debit_card_specializing,yearmonth,CustomerID,The unique identifier for a customer.,integer,A51
debit_card_specializing,yearmonth,Date,The year and month of the transaction.,text,A52
debit_card_specializing,yearmonth,Consumption,The consumption value for a customer in a specific year and month.,real,A53
debit_card_specializing,transactions_1k,TransactionID,Unique identifier for each transaction.,integer,A31
debit_card_specializing,transactions_1k,Date,The date of the transaction.,date,A32
debit_card_specializing,transactions_1k,Time,The time of the transaction.,text,A33
debit_card_specializing,transactions_1k,CustomerID,The unique identifier for the customer associated with the transaction.,integer,A34
debit_card_specializing,transactions_1k,CardID,The unique identifier for the card used in the transaction.,integer,A35
debit_card_specializing,transactions_1k,GasStationID,The unique identifier for the gas station where the transaction occurred.,integer,A36
debit_card_specializing,transactions_1k,ProductID,The unique identifier for the product involved in the transaction.,integer,A37
debit_card_specializing,transactions_1k,Amount,The quantity of the product involved in the transaction.,integer,A38
debit_card_specializing,transactions_1k,Price,The price of the transaction.,real,A39
debit_card_specializing,customers,CustomerID,Unique identifier for each customer.,integer,A01
debit_card_specializing,customers,Segment,Client segment classification.,text,A02
debit_card_specializing,customers,Currency,The currency used by the customer.,text,A03
debit_card_specializing,gasstations,GasStationID,Unique identifier for each gas station.,integer,A11
debit_card_specializing,gasstations,ChainID,Identifier for the chain to which the gas station belongs.,integer,A12
debit_card_specializing,gasstations,Country,The country where the gas station is located.,text,A13
debit_card_specializing,gasstations,Segment,The chain segment of the gas station.,text,A14
debit_card_specializing,products,ProductID,The unique identifier for each product.,integer,A21
debit_card_specializing,products,Description,The description of the product.,text,A22
financial,loan,loan_id,Unique identifier for each loan.,integer,B51
financial,loan,account_id,This is the ID number identifying the account associated with the loan.,integer,B52
financial,loan,date,The date when the loan was approved.,date,B53
financial,loan,amount,The approved loan amount.,integer,B54
financial,loan,duration,The duration of the loan in months.,integer,B55
financial,loan,payments,The monthly payment amount for the loan.,real,B56
financial,loan,status,The repayment status of the loan.,text,B57
financial,client,client_id,A unique identifier for each client.,integer,B21
financial,client,gender,The gender of the client.,text,B22
financial,client,birth_date,The birth date of the client.,date,B23
financial,client,district_id,Identifier for the district where the client is located.,integer,B24
financial,district,district_id,Unique identifier for each district.,integer,B41
financial,district,A2,The name of the district.,text,B42
financial,district,A3,The region where the district is located.,text,B43
financial,district,A4,The number of inhabitants in the district.,text,B44
financial,district,A5,This is the number of municipalities with fewer than 499 inhabitants in the district.,text,B45
financial,district,A6,This is the number of municipalities with inhabitants between 500 and 1999 in the district.,text,B46
financial,district,A7,This is the number of municipalities with 2000-9999 inhabitants in the district.,text,B47
financial,district,A8,"This is the number of municipalities with more than 10,000 inhabitants in the district.",integer,B48
financial,district,A9,The number of cities in the district.,integer,B49
financial,district,A10,The ratio of urban inhabitants in the district.,real,B410
financial,district,A11,The average salary in the district.,integer,B411
financial,district,A12,The unemployment rate in the district in 1995.,real,B412
financial,district,A13,The unemployment rate in the district in 1996.,real,B413
financial,district,A14,The number of entrepreneurs per 1000 inhabitants in the district.,integer,B414
financial,district,A15,The number of committed crimes in the district in 1995.,integer,B415
financial,district,A16,The number of committed crimes in the district in 1996.,integer,B416
financial,trans,trans_id,Unique identifier for each transaction.,integer,B71
financial,trans,account_id,The unique identifier for the account associated with the transaction.,integer,B72
financial,trans,date,The date of the transaction.,date,B73
financial,trans,type,The type of transaction.,text,B74
financial,trans,operation,The type of transaction operation.,text,B75
financial,trans,amount,The amount of money involved in the transaction.,integer,B76
financial,trans,balance,The balance after the transaction.,integer,B77
financial,trans,k_symbol,Characterization of the transaction.,text,B78
financial,trans,bank,The bank of the partner involved in the transaction.,text,B79
financial,trans,account,The account number of the partner involved in the transaction.,integer,B710
financial,account,account_id,This is the unique identifier for the account.,integer,B01
financial,account,district_id,The identifier for the district where the account is located.,integer,B02
financial,account,frequency,The frequency of transactions on the account.,text,B03
financial,account,date,The creation date of the account.,date,B04
financial,card,card_id,Unique identifier for each credit card.,integer,B11
financial,card,disp_id,The identifier for the disposition associated with the card.,integer,B12
financial,card,type,The type of credit card issued.,text,B13
financial,card,issued,The date when the credit card was issued.,date,B14
financial,order,order_id,This is the unique identifier for each order.,integer,B61
financial,order,account_id,The unique identifier for the account associated with the order.,integer,B62
financial,order,bank_to,The bank of the recipient associated with the order.,text,B63
financial,order,account_to,The account number of the recipient associated with the order.,integer,B64
financial,order,amount,The amount of money in the order.,real,B65
financial,order,k_symbol,Characterization of the payment for the order.,text,B66
financial,disp,disp_id,Unique identifier for each disposition record.,integer,B31
financial,disp,client_id,The unique identifier for the client associated with the disposition.,integer,B32
financial,disp,account_id,The unique identifier for the account associated with the disposition.,integer,B33
financial,disp,type,The type of disposition.,text,B34
formula_1,circuits,circuitId,Unique identification number for each circuit.,integer,C11
formula_1,circuits,circuitRef,The unique reference name for the circuit.,text,C12
formula_1,circuits,name,The name of the circuit.,text,C13
formula_1,circuits,location,The city or locality where the circuit is situated.,text,C14
formula_1,circuits,country,The country where the circuit is located.,text,C15
formula_1,circuits,lat,Latitude of the circuit location.,real,C16
formula_1,circuits,lng,The longitude of the circuit's location.,real,C17
formula_1,circuits,alt,The altitude of the circuit location.,integer,C18
