,question_id,sql_gold,sql_pred,execution_accuracy,used_metadata
0,0,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,"SELECT MAX(Percent (%)\ Eligible Free (K-12))
FROM frpm
WHERE County Code = 'Alameda County';",0,qwen2_metadata
1,1,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,"SELECT `School Name` AS School, Percent(`FRPM Count (Ages 5-17)`) AS Eligible_Free_Rate
FROM frpm
WHERE `School Type` = 'Continuation'
ORDER BY Eligible_Free_Rate ASC
LIMIT 3;",0,qwen2_metadata
2,2,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,"SELECT Zip
FROM schools
WHERE Charter = 1 AND County = 'Fresno' AND DOC = '00';",0,qwen2_metadata
3,3,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,"SELECT MailStreet, MailCity, MailState
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE frpm.FRPM_Count_K_12 = (
    SELECT MAX(frpm.FRPM_Count_K_12)
    FROM frpm
)
GROUP BY schools.CDSCode, schools.MailStreet, schools.MailCity, schools.MailState;",0,qwen2_metadata
4,4,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',"SELECT Phone
FROM schools
WHERE Charter = 1 AND FundingType = 'Direct' AND OpenDate > '2000-01-01';",0,qwen2_metadata
5,5,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath < 400,"SELECT COUNT(*)
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE satscores.AvgScrMath < 400
AND schools.Virtual = 1;",1,qwen2_metadata
6,6,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,"SELECT s.School
FROM schools s
JOIN satscores sc ON s.CDSCode = sc.cds
WHERE sc.NumTstTakr > 500 AND (s.Magnet = 1 OR s.Magnet IS NOT NULL);",0,qwen2_metadata
7,7,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,"SELECT schools.Phone
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE satscores.NumTstTakr = (SELECT MAX(NumTstTakr) FROM satscores WHERE AvgScrRead >= 1500 AND AvgScrMath >= 1500 AND AvgScrWrite >= 1500)
AND satscores.rtype = 'S';",0,qwen2_metadata
8,8,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),"SELECT NumTstTakr
FROM satscores
JOIN schools ON satscores.cds = schools.CDSCode
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE frpm.FRPM_Count_K_12 = (
    SELECT MAX(FRPM_Count_K_12)
    FROM frpm
)
GROUP BY schools.CDSCode;",0,qwen2_metadata
9,9,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',"SELECT COUNT(*)
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE satscores.AvgScrMath > 560 AND schools.Charter = 1;",0,qwen2_metadata
