,question_id,sql_gold,sql_pred,execution_accuracy,db_id,used_metadata
0,0,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,"
SQL Query:

SELECT MAX(`Percent (%) Eligible Free (K-12)`)
FROM frpm
WHERE `County Name` = 'Alameda County';",0,california_schools,bird_metadata
1,1,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,"
SQL Query:


SELECT `Percent (%) Eligible Free (Ages 5-17)`
FROM frpm
WHERE `School Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)` ASC
LIMIT 3;
",0,california_schools,bird_metadata
2,2,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,"
SELECT zip
FROM schools
WHERE district = 'Fresno County Office of Education' AND charter = 1;",0,california_schools,bird_metadata
3,3,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,"
SELECT CONCAT(MailStreet, ' ', MailStrAbr, ' ', MailCity, ' ', MailZip, ' ', MailState) AS unabbreviated_mailing_address
FROM schools
WHERE CDSCode = (
    SELECT CDSCode
    FROM frpm
    WHERE `FRPM Count (K-12)` = (
        SELECT MAX(`FRPM Count (K-12)`)
        FROM frpm
    )
)",0,california_schools,bird_metadata
4,4,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',"
SELECT schools.Phone
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE frpm.CharterSchoolNumber IS NOT NULL AND frpm.CharterFundingType = 'Direct Funded Charter' AND schools.OpenDate > '2000-01-01';",0,california_schools,bird_metadata
5,5,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath < 400,"
SELECT COUNT(*) FROM satscores
JOIN schools ON satscores.cds = schools.CDSCode
WHERE AvgScrMath < 400 AND Virtual = 'Virtual' AND GSserved = GSoffered;",1,california_schools,bird_metadata
6,6,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,"
SELECT schools.School
FROM schools
JOIN satscores
ON schools.CDSCode = satscores.cds
WHERE satscores.NumTstTakr > 500 AND schools.Magnet = 1;",1,california_schools,bird_metadata
7,7,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,"
SELECT phone
FROM schools
WHERE CDSCode = (
    SELECT cds
    FROM satscores
    WHERE NumGE1500 = (
        SELECT MAX(NumGE1500)
        FROM satscores
    )
)",1,california_schools,bird_metadata
8,8,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),"
SQL Query:


SELECT NumTstTakr
FROM satscores
WHERE cds IN (
    SELECT CDSCode
    FROM frpm
    ORDER BY `FRPM Count (K-12)` DESC
    LIMIT 1
);
",0,california_schools,bird_metadata
9,9,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',"
SELECT COUNT(*) FROM satscores
JOIN schools ON satscores.cds = schools.CDSCode
WHERE AvgScrMath > 560 AND FundingType = 'Direct Funded Charter'",0,california_schools,bird_metadata
10,10,SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,"
SQL Query:


SELECT frpm.""FRPM Count (Ages 5-17)""
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE satscores.AvgScrRead = (SELECT MAX(AvgScrRead) FROM satscores)
LIMIT 1;
",0,california_schools,bird_metadata
11,11,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,"
SELECT CDSCode FROM frpm WHERE `Enrollment (K-12)` > 500;",0,california_schools,bird_metadata
12,12,SELECT MAX(CAST(T1.`Free Meal Count (Ages 5-17)` AS REAL) / T1.`Enrollment (Ages 5-17)`) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr > 0.3,"
SELECT MAX(`Percent (%) Eligible Free (Ages 5-17)`)
FROM frpm
WHERE `Percent (%) Eligible Free (Ages 5-17)` IS NOT NULL
AND CDSCode IN (
    SELECT cds
    FROM satscores
    WHERE (NumGE1500 / NumTstTakr) > 0.3
)",0,california_schools,bird_metadata
13,13,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr DESC LIMIT 3,"
SELECT schools.Phone
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
ORDER BY (satscores.NumGE1500 / satscores.NumTstTakr) DESC
LIMIT 3;",0,california_schools,bird_metadata
14,14,SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,"
SQL Query:

SELECT NCESSchool, `Enrollment (Ages 5-17)`
FROM frpm
JOIN schools ON frpm.CDSCode = schools.CDSCode
ORDER BY `Enrollment (Ages 5-17)` DESC
LIMIT 5;",0,california_schools,bird_metadata
15,15,SELECT T1.District FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Active' ORDER BY T2.AvgScrRead DESC LIMIT 1,"
SELECT s.dname, AVG(ss.AvgScrRead) as avg_reading_score
FROM satscores ss
JOIN schools s ON ss.cds = s.CDSCode
WHERE s.StatusType = 'Active'
GROUP BY s.dname
ORDER BY avg_reading_score DESC
LIMIT 1;",0,california_schools,bird_metadata
16,16,SELECT COUNT(T1.CDSCode) FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Merged' AND T2.NumTstTakr < 100 AND T1.County = 'Alameda',"
SQL Query:

SELECT COUNT(*)
FROM satscores
WHERE cname = 'Alameda' AND NumTstTakr < 100;",0,california_schools,bird_metadata
17,17,SELECT T1.CharterNum FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T2.AvgScrWrite = 499,"
SELECT CharterSchoolNumber
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE AvgScrWrite = 499;",0,california_schools,bird_metadata
18,18,SELECT COUNT(T1.CDSCode) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`County Name` = 'Contra Costa' AND T2.NumTstTakr <= 250,"
SELECT COUNT(*) FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE schools.County = 'Contra Costa' AND satscores.FundingType = 'Direct Funded' AND satscores.NumTstTakr <= 250;",0,california_schools,bird_metadata
19,19,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY T2.AvgScrMath DESC LIMIT 1,"
SELECT phone
FROM schools
WHERE CDSCode = (
    SELECT cds
    FROM satscores
    WHERE AvgScrMath = (
        SELECT MAX(AvgScrMath)
        FROM satscores
    )
)",0,california_schools,bird_metadata
20,20,SELECT COUNT(T1.`School Name`) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Amador' AND T1.`Low Grade` = 9 AND T1.`High Grade` = 12,"
SQL Query:

SELECT COUNT(*)
FROM frpm
WHERE `County Name` = 'Amador' AND `Low Grade` = '9' AND `High Grade` = '12';",0,california_schools,bird_metadata
21,21,SELECT COUNT(CDSCode) FROM frpm WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `Free Meal Count (K-12)` < 700,"
SQL Query:

SELECT COUNT(*)
FROM frpm
WHERE CountyName = 'Los Angeles'
AND FreeMealCountK12 > 500
AND FRPMCountK12 < 700;",0,california_schools,bird_metadata
22,22,SELECT sname FROM satscores WHERE cname = 'Contra Costa' AND sname IS NOT NULL ORDER BY NumTstTakr DESC LIMIT 1,"
SELECT sname, NumTstTakr
FROM satscores
JOIN schools ON satscores.cds = schools.CDSCode
WHERE County = 'Contra Costa'
ORDER BY NumTstTakr DESC
LIMIT 1;",0,california_schools,bird_metadata
23,23,"SELECT T1.School, T1.StreetAbr FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` - T2.`Enrollment (Ages 5-17)` > 30","
SQL Query:

SELECT
    frpm.School_Name,
    schools.Street,
    schools.StreetAbr,
    schools.City,
    schools.Zip,
    schools.State
FROM
    frpm
JOIN
    schools ON frpm.CDSCode = schools.CDSCode
WHERE
    ABS(frpm.`Enrollment (K-12)` - frpm.`Enrollment (Ages 5-17)`) > 30;",0,california_schools,bird_metadata
24,24,SELECT T2.`School Name` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE CAST(T2.`Free Meal Count (K-12)` AS REAL) / T2.`Enrollment (K-12)` > 0.1 AND T1.NumGE1500 > 0,"
SQL Query:

SELECT frpm.School_Name
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE frpm.""Percent (%) Eligible Free (K-12)"" > 0.1
AND satscores.NumGE1500 > 0;",0,california_schools,bird_metadata
25,25,"SELECT T1.sname, T2.`Charter Funding Type` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING CAST(SUM(T1.AvgScrMath) AS REAL) / COUNT(T1.cds) > 400","
SELECT schools.School, schools.FundingType
FROM satscores
JOIN schools ON satscores.cds = schools.CDSCode
WHERE schools.County = 'Riverside' AND satscores.AvgScrMath > 400;",0,california_schools,bird_metadata
26,26,"SELECT T1.`School Name`, T2.Zip, T2.Street, T2.City, T2.State FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'","
SELECT
    s.School,
    CONCAT(s.Street, ' ', s.StreetAbr, ', ', s.City, ', ', s.State, ' ', s.Zip) AS FullAddress
FROM
    frpm f
JOIN
    schools s ON f.CDSCode = s.CDSCode
WHERE
    f.`Free Meal Count (Ages 5-17)` > 800
    AND f.`School Type` = 'High School'
    AND f.`County Name` = 'Monterey';",0,california_schools,bird_metadata
