,question_id,sql_gold,sql_pred,execution_accuracy,db_id,used_metadata
0,0,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,"
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

 

 

 

 

 

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

sql
SELECT MAX(Percent_Eligible_Free_K_12)
FROM frpm
WHERE County_Name = 'Alameda';

 

 

",0,california_schools,qwen2_metadata
1,1,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,"
SELECT * FROM frpm
WHERE `Educational Option Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)' ASC
LIMIT 3;

 

 

 

 

 

 

 

 

sql
SELECT * FROM frpm
WHERE `Educational Option Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)' ASC
LIMIT 3;


 

 

sql
SELECT * FROM frpm
WHERE `Educational Option Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)' ASC
LIMIT 3;


 

sql
SELECT * FROM frpm
WHERE `Educational Option Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)' ASC
LIMIT 3;


 

sql
SELECT * FROM frpm
WHERE `Educational Option Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)' ASC
LIMIT 3;


 

sql
SELECT * FROM frpm
WHERE `Educational Option Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)' ASC
LIMIT 3;


 

sql
SELECT * FROM frpm
WHERE `Educational Option Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)' ASC
LIMIT 3;


 

sql
SELECT * FROM frpm
WHERE `Educational Option Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)' ASC
LIMIT 3;


 

sql
SELECT * FROM frpm
WHERE `Educational Option Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)' ASC
LIMIT 3;


 

sql
SELECT * FROM frpm
WHERE `Educational Option Type` = 'Continuation'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)' ASC
LIMIT 3;
",0,california_schools,qwen2_metadata
2,3,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,"
SELECT MailStreet, MailStrAbr, MailCity, MailZip, MailState
FROM schools
WHERE CDSCode = (
    SELECT CDSCode
    FROM frpm
    ORDER BY FRPMCount_K_12 DESC
    LIMIT 1
);

sql
SELECT MailStreet, MailStrAbr, MailCity, MailZip, MailState
FROM schools
WHERE CDSCode = (
    SELECT CDSCode
    FROM frpm
    ORDER BY FRPMCount_K_12 DESC
    LIMIT 1
);





 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 ",0,california_schools,qwen2_metadata
3,4,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',"
sql
SELECT Phone
FROM schools
WHERE FundingType = 'Direct' AND Charter = 1 AND OpenDate > '2000-01-01';






































































































































































































































",0,california_schools,qwen2_metadata
4,5,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath < 400,"
sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 
 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 


 
 
 
 
 
 

 

 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath < 400
  AND Virtual = 'Virtual'


 

sql
SELECT COUNT(*)
",0,california_schools,qwen2_metadata
5,6,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,"
sql
SELECT sname
FROM satscores
WHERE NumTstTakr > 500
AND cds IN (
    SELECT CDSCode
    FROM schools
    WHERE Magnet = 1
);



 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",0,california_schools,qwen2_metadata
6,8,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),"
SELECT NumTstTakr
FROM satscores AS s
JOIN frpm AS f ON s.cds = f.CDSCode
WHERE f.FRPMCount_K_12 = (SELECT MAX(FRPMCount_K_12) FROM frpm);

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 


 

 

 


 

 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 
",0,california_schools,qwen2_metadata
7,9,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',"
sql
SELECT COUNT(*)
FROM satscores
WHERE AvgScrMath > 560
  AND FundingType = 'Direct Funded';

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",0,california_schools,qwen2_metadata
8,10,SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,"
sql
SELECT frpm.FRPM_Count_Ages_5_17
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE satscores.AvgScrRead = (SELECT MAX(AvgScrRead) FROM satscores)


 
 

 

 

 

 

sql
SELECT frpm.FRPM_Count_Ages_5_17
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE satscores.AvgScrRead = (SELECT MAX(AvgScrRead) FROM satscores)


 

sql
SELECT frpm.FRPM_Count_Ages_5_17
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE satscores.AvgScrRead = (SELECT MAX(AvgScrRead) FROM satscores)


 

sql
SELECT frpm.FRPM_Count_Ages_5_17
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE satscores.AvgScrRead = (SELECT MAX(AvgScrRead) FROM satscores)


 

sql
SELECT frpm.FRPM_Count_Ages_5_17
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE satscores.AvgScrRead = (SELECT MAX(AvgScrRead) FROM satscores)


 

sql
SELECT frpm.FRPM_Count_Ages_5_17
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE satscores.AvgScrRead = (SELECT MAX(AvgScrRead) FROM satscores)


 

sql
SELECT frpm.FRPM_Count_Ages_5_17
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE satscores.AvgScrRead = (SELECT MAX(AvgScrRead) FROM satscores)


 

sql",0,california_schools,qwen2_metadata
9,11,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,"
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM frpm
WHERE Enrollment_K_12 > 500;

 
 sql
SELECT CDSCode
FROM",0,california_schools,qwen2_metadata
