,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description,type,gold_prompt_chars,gold_prompt_words,gold_prompt_tokens,pred_prompt_chars,pred_prompt_words,pred_prompt_tokens
0,debit_card_specializing,yearmonth,CustomerID,Customer ID,Customer ID,integer,,F,935.25,412.5,822,658.0,275.25,595
1,debit_card_specializing,yearmonth,Date,,Date,text,,P,927.0,411.0,817,655.0,275.25,593
2,debit_card_specializing,yearmonth,Consumption,,consumption,real,,,934.0,411.0,817,658.5,275.25,593
3,debit_card_specializing,transactions_1k,TransactionID,Transaction ID,Transaction ID,integer,,P,1045.75,462.0,1068,766.25,324.75,841
4,debit_card_specializing,transactions_1k,Date,,Date,date,,,1033.75,460.5,1063,761.75,324.75,839
5,debit_card_specializing,transactions_1k,Time,,Time,text,,,1033.75,460.5,1063,761.75,324.75,839
6,debit_card_specializing,transactions_1k,CustomerID,Customer ID,Customer ID,integer,,,1042.0,462.0,1068,764.75,324.75,841
7,debit_card_specializing,transactions_1k,CardID,Card ID,Card ID,integer,,,1037.0,462.0,1068,762.75,324.75,841
8,debit_card_specializing,transactions_1k,GasStationID,Gas Station ID,Gas Station ID,integer,,,1045.0,463.5,1073,765.75,324.75,843
9,debit_card_specializing,transactions_1k,ProductID,Product ID,Product ID,integer,,,1040.75,462.0,1068,764.25,324.75,841
10,debit_card_specializing,transactions_1k,Amount,,Amount,integer,,,1035.75,460.5,1063,762.75,324.75,839
11,debit_card_specializing,transactions_1k,Price,,Price,real,"commonsense evidence:

total price = Amount x Price",,1034.75,460.5,1063,762.25,324.75,839
12,debit_card_specializing,customers,CustomerID,,identification of the customer,integer,,P,924.5,413.25,791,644.5,275.25,563
13,debit_card_specializing,customers,Segment,client segment,client segment,text,,,921.0,412.5,787,643.0,275.25,561
14,debit_card_specializing,customers,Currency,,Currency,text,,,917.5,411.0,785,643.5,275.25,561
15,debit_card_specializing,gasstations,GasStationID,Gas Station ID,Gas Station ID,integer,,P,949.25,425.25,821,670.0,286.5,591
16,debit_card_specializing,gasstations,ChainID,Chain ID,Chain ID,integer,,,942.5,423.75,816,667.5,286.5,589
17,debit_card_specializing,gasstations,Country,,,text,,,940.0,422.25,811,667.5,286.5,587
18,debit_card_specializing,gasstations,Segment,chain segment,chain segment,text,,,945.0,423.75,813,667.5,286.5,587
19,debit_card_specializing,products,ProductID,Product ID,Product ID,integer,,P,918.75,406.5,773,642.25,269.25,546
20,debit_card_specializing,products,Description,,Description,text,,,918.75,405.0,768,643.25,269.25,544
21,financial,loan,loan_id,,the id number identifying the loan data,integer,,P,1465.5,615.0,1394,1184.0,474.75,1163
22,financial,loan,account_id,,the id number identifying the account,integer,,F,1467.25,614.25,1393,1185.5,474.75,1163
