,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description,type,llm_column_description
48,financial,trans,trans_id,transaction id,transaction id,integer,,P,The trans_id column in the trans table serves as the primary key for identifying individual transactions.
49,financial,trans,account_id,,,integer,,F,The account_id column in the trans table serves as a unique identifier for each account associated with a transaction.
50,financial,trans,date,date of transaction,date of transaction,date,,,The date column in the trans table stores the date of the transaction.
51,financial,trans,type,+/- transaction,+/- transaction,text,"""PRIJEM"" stands for credit
""VYDAJ"" stands for withdrawal",,"The type column in the trans table indicates the type of transaction (e.g., PRIJEM for income, VYDAJ for expenditure)."
52,financial,trans,operation,mode of transaction,mode of transaction,text,"""VYBER KARTOU"": credit card withdrawal
""VKLAD"": credit in cash
""PREVOD Z UCTU"" :collection from another bank
""VYBER"": withdrawal in cash
""PREVOD NA UCET"": remittance to another bank",,"The operation column in the trans table indicates the type of financial operation, such as deposit or withdrawal."
53,financial,trans,amount,amount of money,amount of money,integer,Unit：USD,,The amount column in the trans table represents the monetary value involved in the transaction.
54,financial,trans,balance,balance after transaction,balance after transaction,integer,Unit：USD,,The balance column in the trans table represents the current balance of the account after each transaction.
55,financial,trans,k_symbol,characterization of the transaction,,text,"""POJISTNE"": stands for insurrance payment
""SLUZBY"": stands for payment for statement
""UROK"": stands for interest credited
""SANKC. UROK"": sanction interest if negative balance
""SIPO"": stands for household
""DUCHOD"": stands for old-age pension
""UVER"": stands for loan payment",,The k_symbol column in the trans table indicates the specific symbol associated with a transaction.
56,financial,trans,bank,bank of the partner,,text,each bank has unique two-letter code,,The bank column in the trans table indicates the bank involved in the transaction.
57,financial,trans,account,account of the partner,,integer,,,The account column in the trans table represents the account_id associated with each transaction.
