,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description,type,gold_prompt_chars,gold_prompt_words,gold_prompt_tokens,pred_prompt_chars,pred_prompt_words,pred_prompt_tokens
0,debit_card_specializing,yearmonth,CustomerID,Customer ID,Customer ID,integer,,F,1631.75,756.75,2161,1354.5,619.5,1934
1,debit_card_specializing,yearmonth,Date,,Date,text,,P,1621.5,755.25,2158,1349.5,619.5,1934
2,debit_card_specializing,yearmonth,Consumption,,consumption,real,,,1659.25,755.25,2212,1383.75,619.5,1988
3,debit_card_specializing,transactions_1k,TransactionID,Transaction ID,Transaction ID,integer,,P,2713.75,1305.75,4863,2434.25,1168.5,4636
4,debit_card_specializing,transactions_1k,Date,,Date,date,,,2494.75,1196.25,4359,2222.75,1060.5,4135
5,debit_card_specializing,transactions_1k,Time,,Time,text,,,2712.0,1304.25,4868,2440.0,1168.5,4644
6,debit_card_specializing,transactions_1k,CustomerID,Customer ID,Customer ID,integer,,,2719.5,1305.75,4873,2442.25,1168.5,4646
7,debit_card_specializing,transactions_1k,CardID,Card ID,Card ID,integer,,,2710.5,1305.75,4878,2436.25,1168.5,4651
8,debit_card_specializing,transactions_1k,GasStationID,Gas Station ID,Gas Station ID,integer,,,2717.75,1307.25,4863,2438.5,1168.5,4633
9,debit_card_specializing,transactions_1k,ProductID,Product ID,Product ID,integer,,,2715.25,1305.75,4871,2438.75,1168.5,4644
10,debit_card_specializing,transactions_1k,Amount,,Amount,integer,,,2705.5,1304.25,4865,2432.5,1168.5,4641
11,debit_card_specializing,transactions_1k,Price,,Price,real,"commonsense evidence:

total price = Amount x Price",,2705.5,1304.25,4871,2433.0,1168.5,4647
12,debit_card_specializing,customers,CustomerID,,identification of the customer,integer,,P,1475.5,757.5,1759,1195.5,619.5,1531
13,debit_card_specializing,customers,Segment,client segment,client segment,text,,,1421.75,718.5,1653,1143.75,581.25,1427
14,debit_card_specializing,customers,Currency,,Currency,text,,,1415.75,714.75,1646,1141.75,579.0,1422
15,debit_card_specializing,gasstations,GasStationID,Gas Station ID,Gas Station ID,integer,,P,1680.5,875.25,2037,1401.25,736.5,1807
16,debit_card_specializing,gasstations,ChainID,Chain ID,Chain ID,integer,,,1683.5,876.75,2042,1408.5,739.5,1815
17,debit_card_specializing,gasstations,Country,,,text,,,1591.0,816.75,1883,1318.5,681.0,1659
18,debit_card_specializing,gasstations,Segment,chain segment,chain segment,text,,,1609.0,827.25,1909,1331.5,690.0,1683
19,debit_card_specializing,products,ProductID,Product ID,Product ID,integer,,P,1569.25,712.5,1852,1292.75,575.25,1625
20,debit_card_specializing,products,Description,,Description,text,,,1647.25,744.0,1911,1371.75,608.25,1687
21,financial,loan,loan_id,,the id number identifying the loan data,integer,,P,2958.75,1404.0,4665,2677.25,1263.75,4434
22,financial,loan,account_id,,the id number identifying the account,integer,,F,2960.5,1403.25,4664,2678.75,1263.75,4434
23,financial,loan,date,,the date when the loan is approved,date,,,2961.75,1404.0,4680,2682.25,1263.75,4450
24,financial,loan,amount,,approved amount,integer,unit：US dollar,,2952.25,1400.25,4666,2677.0,1263.75,4441
25,financial,loan,duration,,loan duration,integer,unit：month,,2805.0,1321.5,4312,2529.75,1185.0,4087
26,financial,loan,payments,monthly payments,monthly payments,real,unit：month,,2955.75,1401.0,4657,2676.5,1263.75,4431
27,financial,loan,status,,repayment status,text,"'A' stands for contract finished, no problems;
'B' stands for contract finished, loan not paid;
'C' stands for running contract, OK so far;
'D' stands for running contract, client in debt",,2794.25,1316.25,4289,2518.75,1179.75,4064
28,financial,client,client_id,,the unique number,integer,,P,2342.75,1126.5,3292,2066.25,989.25,3065
29,financial,client,gender,,,text,"F：female 
M：male ",,2249.5,1071.0,3071,1977.25,935.25,2847
30,financial,client,birth_date,,birth date,date,,,2353.25,1125.75,3308,2078.25,989.25,3082
31,financial,client,district_id,location of branch,location of branch,integer,,F,2350.0,1128.0,3294,2069.0,989.25,3065
32,financial,district,district_id,location of branch,location of branch,integer ,,P,3709.75,2058.75,6396,3428.75,1920.0,6167
33,financial,district,A2,district_name,district_name,text,,,3697.25,2057.25,6397,3421.0,1921.5,6170
34,financial,district,A3,region,region,text,,,3454.0,1898.25,5836,3181.25,1762.5,5611
35,financial,district,A4,number of inhabitants ,,text,,,3690.75,2055.0,6383,3414.75,1917.0,6156
36,financial,district,A5,no. of municipalities with inhabitants < 499,municipality < district < region,text,,,3704.5,2063.25,6401,3415.75,1920.0,6164
37,financial,district,A6,no. of municipalities with inhabitants 500-1999,municipality < district < region,text,,,3713.25,2063.25,6413,3423.75,1920.75,6174
38,financial,district,A7,no. of municipalities with inhabitants 2000-9999,municipality < district < region,text,,,3651.5,2023.5,6264,3361.75,1881.0,6024
39,financial,district,A8,no. of municipalities with inhabitants > 10000,municipality < district < region,integer,,,3428.5,1879.5,5752,3139.25,1736.25,5514
40,financial,district,A9,,,integer,not useful,,3515.25,1939.5,5973,3244.0,1803.75,5748
41,financial,district,A10,ratio of urban inhabitants,ratio of urban inhabitants,real,,,3705.5,2063.25,6387,3422.5,1923.0,6156
42,financial,district,A11,average salary,average salary,integer,,,3693.75,2055.0,6381,3416.75,1917.75,6154
43,financial,district,A12,unemployment rate 1995,unemployment rate 1995,real,,,3705.0,2061.0,6400,3424.0,1922.25,6167
44,financial,district,A13,unemployment rate 1996,unemployment rate 1996,real,,,3714.5,2066.25,6418,3433.5,1927.5,6185
45,financial,district,A14,no. of entrepreneurs per 1000 inhabitants,no. of entrepreneurs per 1000 inhabitants,integer,,,3702.5,2062.5,6395,3412.0,1919.25,6154
46,financial,district,A15,no. of committed crimes 1995,no. of committed crimes 1995,integer,,,3701.75,2061.75,6397,3417.75,1920.0,6158
47,financial,district,A16,no. of committed crimes 1996,no. of committed crimes 1996,integer,,,3703.75,2063.25,6399,3419.75,1921.5,6160
48,financial,trans,trans_id,transaction id,transaction id,integer,,P,3702.25,1831.5,5964,3424.0,1694.25,5737
49,financial,trans,account_id,,,integer,,F,3653.25,1801.5,5803,3380.0,1665.75,5578
50,financial,trans,date,date of transaction,date of transaction,date,,,3679.75,1806.0,5819,3400.0,1667.25,5591
51,financial,trans,type,+/- transaction,+/- transaction,text,"""PRIJEM"" stands for credit
""VYDAJ"" stands for withdrawal",,3418.5,1677.0,5358,3140.75,1539.75,5132
52,financial,trans,operation,mode of transaction,mode of transaction,text,"""VYBER KARTOU"": credit card withdrawal
""VKLAD"": credit in cash
""PREVOD Z UCTU"" :collection from another bank
""VYBER"": withdrawal in cash
""PREVOD NA UCET"": remittance to another bank",,3469.5,1703.25,5455,3188.5,1564.5,5227
53,financial,trans,amount,amount of money,amount of money,integer,Unit：USD,,3714.5,1824.0,5972,3436.25,1685.25,5744
54,financial,trans,balance,balance after transaction,balance after transaction,integer,Unit：USD,,3715.25,1812.0,5931,3431.75,1673.25,5703
55,financial,trans,k_symbol,characterization of the transaction,,text,"""POJISTNE"": stands for insurrance payment
""SLUZBY"": stands for payment for statement
""UROK"": stands for interest credited
""SANKC. UROK"": sanction interest if negative balance
""SIPO"": stands for household
""DUCHOD"": stands for old-age pension
""UVER"": stands for loan payment",,3522.25,1728.75,5571,3241.5,1590.75,5343
56,financial,trans,bank,bank of the partner,,text,each bank has unique two-letter code,,3604.25,1777.5,5768,3328.5,1639.5,5541
57,financial,trans,account,account of the partner,,integer,,,3718.0,1829.25,5984,3440.75,1691.25,5757
58,financial,account,account_id,account id,the id of the account,integer,,P,2797.25,1221.0,4137,2517.75,1081.5,3907
59,financial,account,district_id,location of branch,location of branch,integer ,,F,2799.75,1220.25,4136,2518.75,1081.5,3907
60,financial,account,frequency,frequency,frequency of the acount,text,"""POPLATEK MESICNE"" stands for monthly issuance
""POPLATEK TYDNE"" stands for weekly issuance
""POPLATEK PO OBRATU"" stands for issuance after transaction",,2651.25,1156.5,3812,2371.75,1018.5,3584
61,financial,account,date,date,the creation date of the account,date,in the form YYMMDD,,2804.0,1221.75,4145,2524.75,1082.25,3916
62,financial,card,card_id,credit card id,id number of credit card,integer,,P,2535.5,1129.5,3430,2255.0,989.25,3199
63,financial,card,disp_id,disposition id,disposition id,integer,,F,2533.0,1126.5,3426,2255.0,989.25,3199
64,financial,card,type,,type of credit card,text,"""junior"": junior class of credit card; 
""classic"": standard class of credit card; 
""gold"": high-level credit card",,2420.0,1076.25,3201,2144.25,938.25,2974
65,financial,card,issued,,the date when the credit card issued ,date,in the form YYMMDD,,2551.5,1130.25,3445,2270.75,989.25,3215
66,financial,order,order_id,,identifying the unique order,integer,,P,2753.25,1293.0,4050,2474.25,1155.0,3822
67,financial,order,account_id,,id number of account,integer,,F,2754.5,1294.5,4052,2477.0,1156.5,3824
68,financial,order,bank_to,bank of the recipient,bank of the recipient,text,,,2696.5,1263.75,3921,2415.0,1123.5,3690
69,financial,order,account_to,account of the recipient,account of the recipient,integer,each bank has unique two-letter code,,2760.75,1294.5,4051,2477.0,1154.25,3820
70,financial,order,amount,debited amount,debited amount,real,,,2744.0,1285.5,4023,2466.25,1148.25,3795
71,financial,order,k_symbol,characterization of the payment,purpose of the payment,text,"""POJISTNE"" stands for insurance payment
""SIPO"" stands for household payment
""LEASING"" stands for leasing
""UVER"" stands for loan payment",,2635.0,1228.5,3773,2350.5,1088.25,3542
72,financial,disp,disp_id,disposition id,unique number of identifying this row of record,integer,,P,2244.25,1131.0,2833,1958.0,989.25,2600
73,financial,disp,client_id,,id number of client,integer,,F,2236.0,1127.25,2828,1959.0,989.25,2600
74,financial,disp,account_id,,id number of account,integer,,F,2233.75,1127.25,2823,1956.25,989.25,2595
75,financial,disp,type,,type of disposition,text,"""OWNER"" : ""USER"" : ""DISPONENT""
commonsense evidence:
the account can only have the right to issue permanent orders or apply for loans",,2162.25,1072.5,2676,1886.5,935.25,2450
